type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/tipo_ofi,properties/Direccion
Feature,entidadesfinancieras.359,Point,-68.13434849,-16.49895817,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. CAMACHO NÂº 1296, ESQ. COLON, AGENCIA BNB, ZONA CENTRAL"
Feature,entidadesfinancieras.360,Point,-68.13436238,-16.49895539,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. CAMACHO NÂº 1296, ESQ. COLON, AGENCIA BNB, ZONA CENTRAL"
Feature,entidadesfinancieras.361,Point,-68.1437676,-16.48902277,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. MONTES NÂº 400, INTERIOR CBN, ZONA NORTE (USO EXCLUSIVO DEL PERSONAL DE LA EMPRESA)"
Feature,entidadesfinancieras.362,Point,-68.12235556,-16.51109444,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. ARCE Nº 2631, INTERIOR COMPLEJO MULTICINE"
Feature,entidadesfinancieras.363,Point,-68.07203332,-16.53446348,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. ALEXANDER Nº 100, ENTRE CALLES 14 Y 15, ZONA ACHUMANI"
Feature,entidadesfinancieras.364,Point,-68.14421035,-16.49405575,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. BUENOS AIRES, ESQ. GARCILAZO DE LA VEGA, CASETA 14 BLOQUE ""Z"", CENTRO COMERCIAL GARCILAZO DE LA VEGA, ZONA 14 DE SEPTIEMBRE"
Feature,entidadesfinancieras.365,Point,-68.14028056,-16.49539722,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV.ILLAMPU Nº704, ESQ. CALLE MARIANO GRANEROS, HOTEL ROSARIO, ZONA ROSARIO"
Feature,entidadesfinancieras.366,Point,-68.06358137,-16.52137744,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV.STRONGUEST Nº110, ESQ.CALLE 29-A, ZONA ACHUMANI"
Feature,entidadesfinancieras.367,Point,-68.12827788,-16.49752843,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"CALLE YUNGAS Nº 952, MERCADO YUNGAS, ZONA SANTA BARBARA"
Feature,entidadesfinancieras.368,Point,-68.10214167,-16.52905833,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"CALLE 16 Nº 460, ESQ. AV. 14 DE SEPTIEMBRE, ZONA OBRAJES"
Feature,entidadesfinancieras.369,Point,-68.12393622,-16.50019957,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. SAAVEDRA Nº 1716 EDIF. DELGADILLO, ZONA MIRAFLORES"
Feature,entidadesfinancieras.370,Point,-68.10667621,-16.52317763,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. DEL MAESTRO Nº954, ZONA ALTO OBRAJES"
Feature,entidadesfinancieras.371,Point,-68.14136389,-16.49974722,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"CALLE SEBASTIAN SEGUROLA Nº 1050, ZONA GRAN PODER"
Feature,entidadesfinancieras.372,Point,-68.1295229,-16.50716787,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. 20 DE OCTUBRE NÂº 2095, ESQ. ASPIAZU, AGENCIA BNB, ZONA SOPOCACHI"
Feature,entidadesfinancieras.373,Point,-68.08678412,-16.52481111,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. ALTAMIRANO Nº 6629, ENTRE CALLES 5 Y 6, ZONA IRPAVI"
Feature,entidadesfinancieras.374,Point,-68.13600278,-16.50176667,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"CALLE ALMIRANTE GRAU Nº 327, ESQ. G. GONZALES, ZONA SAN PEDRO"
